10/11/11 15:31
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	
Total :                    	   10042	42387	                   226493	                   258264	
Restants :                 	      14	   19	                       87	                       92	
Segments uniques :         	    7284	34550	                   185027	                   211831	
Segments uniques restants :	      14	   19	                       87	                       92	


Statistiques par fichiers :

Nom du fichier               	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
00-adminhtml-translate.csv.po	           210	                0	             210	                        0	       585	            0	         585	                    0	                           3098	                                 0	                             3098	                                         0	                           3468	                                 0	                             3468	                                         0	
00-frontend-translate.csv.po 	             1	                0	               1	                        0	        15	            0	          15	                    0	                             58	                                 0	                               58	                                         0	                             72	                                 0	                               72	                                         0	
Find_Feed.csv.po             	            45	                0	              41	                        0	       136	            0	         127	                    0	                            689	                                 0	                              646	                                         0	                            775	                                 0	                              727	                                         0	
Mage_Adminhtml.csv.po        	          1309	                0	            1225	                        0	      5215	            0	        4995	                    0	                          28023	                                 0	                            26826	                                         0	                          31806	                                 0	                            30480	                                         0	
Mage_AdminNotification.csv.po	            30	                0	              20	                        0	       106	            0	          92	                    0	                            538	                                 0	                              455	                                         0	                            612	                                 0	                              525	                                         0	
Mage_Api.csv.po              	           452	                0	              13	                        0	      1904	            0	          55	                    0	                           9928	                                 0	                              324	                                         0	                          11313	                                 0	                              365	                                         0	
Mage_Authorizenet.csv.po     	            40	                0	              31	                        0	       147	            0	         127	                    0	                            857	                                 0	                              743	                                         0	                            964	                                 0	                              839	                                         0	
Mage_Backup.csv.po           	            19	                0	              13	                        0	        90	            0	          83	                    0	                            449	                                 0	                              408	                                         0	                            520	                                 0	                              478	                                         0	
Mage_Bundle.csv.po           	            57	                0	              39	                        0	       151	            0	         123	                    0	                            794	                                 0	                              648	                                         0	                            886	                                 0	                              731	                                         0	
Mage_Catalog.csv.po          	           817	                0	             693	                        0	      3575	            0	        3296	                    0	                          19034	                                 0	                            17586	                                         0	                          21720	                                 0	                            20120	                                         0	
Mage_CatalogInventory.csv.po 	            57	                0	              46	                        0	       316	            0	         285	                    0	                           1584	                                 0	                             1415	                                         0	                           1841	                                 0	                             1652	                                         0	
Mage_CatalogRule.csv.po      	            60	                0	              39	                        0	       205	            0	         173	                    0	                           1018	                                 0	                              809	                                         0	                           1163	                                 0	                              943	                                         0	
Mage_CatalogSearch.csv.po    	            48	                0	              38	                        0	       194	            0	         180	                    0	                           1028	                                 0	                              972	                                         0	                           1169	                                 0	                             1109	                                         0	
Mage_Centinel.csv.po         	            34	                0	              25	                        0	       166	            0	         121	                    0	                            972	                                 0	                              694	                                         0	                           1103	                                 0	                              790	                                         0	
Mage_Checkout.csv.po         	           317	                0	             257	                        0	      1355	            0	        1227	                    0	                           7418	                                 0	                             6714	                                         0	                           8438	                                 0	                             7666	                                         0	
