"Activation Information","Informations d'activation"
"Color","Couleur"
"Brand","Marque"
"Contrast Ratio","Contraste"
"Cost","Coût"
"Country of Origin","Pays d'origine"
"CPU Speed","Vitesse CPU"
"Custom Design","Design personnalisé"
"Active From","Actif à partir de"
"Active To","Actif jusqu'à"
"Custom Layout Update","Mise à jour d'agencement"
"Description","Description"
"Dimensions","Dimensions"
"Is product available for purchase with Google Checkout","Le produit est-il disponible pour Google Checkout"
"Finish","Finition"
"Image Gallery","Gallerie d'images"
"Gender","Genre"
"Allow Gift Message","Autoriser les messages cadeau"
"Disk Speed","Vitesse du disque"
"Hardrive","Disque dur"
"Base Image","Image de base"
"In Depth","En détail"
"Manufacturer","Fabriquant"
"Max Resolution","Résolution max"
"Media Gallery","Gallery média"
"Megapixels","Millions de pixels"
"Memory","Mémoire"
"Meta Description","Description méta"
"Meta Keywords","Mots-clés méta"
"Meta Title","Titre méta"
"Model","Modèle"
"Name","Nom"
"Set Product as New from Date","Produit nouveau à partir du"
"Set Product as New to Date","Produit nouveau jusqu'au"
"Display product options in","Afficher les options de produit dans"
"Price","Prix"
"Price View","Affichage du prix"
"Processor","Processeur"
"RAM SIze","Taille de RAM"
"Response Time","Temps de réponse"
"Room","Pièce"
"Screensize","Diagonale"
"shape","Forme"
"Shirt Size","Taille"
"Shoe Size","Pointure"
"Shoe Type","Type de chaussure"
"Short Description","Description courte"
"SKU","Réf."
"Small Image","Petite image"
"Special Price From Date","Date de début du prix spécial"
"Special Price","Prix spécial"
"Special Price To Date","Date de fin du prix spécial"
"Status","Statut"
"Tax Class","Classe de TVA"
"Thumbnail","Miniature"
"Tier Price","Prix par palier"
"URL key","Clé d'URL"
"Visibility","Visibilité"
"Weight","Poids"
"Furniture","Meubles"
"Electronics","Électronique"
"Living Room","Salon"
"Bedroom","Chambre"
"Cell Phone Attributes","Attributs de téléphone"
